LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
KY,2021,Female,45.05,34.85,34.65,75.65,1
KY,2021,Hispanic,25.2,35.8,35.8,,0
KY,2021,Male,50.15,35.0,34.7,74.0,1
KY,2021,Overall,47.55,34.95,34.7,74.65,1
KY,2021,"White, non-Hispanic",47.099999999999994,35.25,35.0,76.6,1
LA,2019,"American Indian or Alaska Native, non-Hispanic",45.6,28.6,27.75,,1
LA,2019,"Black, non-Hispanic",56.3,30.5,30.3,70.85,1
LA,2019,Female,46.95,35.55,35.2,72.9,1
LA,2019,Hispanic,46.349999999999994,33.7,33.4,,0
LA,2019,Male,51.599999999999994,35.6,35.25,65.05,1
LA,2019,Overall,49.150000000000006,35.55,35.150000000000006,69.1,1
LA,2019,"White, non-Hispanic",46.55,38.45,38.0,69.2,1
LA,2021,"American Indian or Alaska Native, non-Hispanic",32.9,,,,0
LA,2021,"Black, non-Hispanic",57.7,33.650000000000006,33.3,77.55,1
LA,2021,Female,47.95,34.5,34.3,79.35,1
LA,2021,Hispanic,46.15,26.8,26.8,74.9,0
LA,2021,Male,50.8,36.9,36.55,72.75,1
LA,2021,Overall,49.3,35.55,35.3,75.85,1
LA,2021,"White, non-Hispanic",46.05,37.8,37.6,72.65,1
MA,2019,"Asian, non-Hispanic",22.450000000000003,20.65,20.2,,0
MA,2019,"Black, non-Hispanic",44.4,30.3,29.45,71.8,0
MA,2019,Female,32.4,25.95,25.65,67.75,0
MA,2019,Hispanic,36.7,31.9,31.2,65.15,0
MA,2019,Male,38.7,31.950000000000003,31.4,63.650000000000006,1
MA,2019,"Multiracial, non-Hispanic",31.9,24.950000000000003,24.950000000000003,,0
MA,2019,Overall,35.45,28.799999999999997,28.4,65.6,0
MA,2019,"White, non-Hispanic",35.7,29.05,28.75,65.45,0
MA,2021,"Asian, non-Hispanic",32.05,28.05,27.9,62.85,0
